"dates","festivities"
1989-03-04,"Muhammad's Ascension to Heaven"
1989-05-01,"Labor Day"
1989-05-06,"Festival of Breaking the Fast"
1989-07-13,"Feast of the Sacrifice"
1989-08-03,"Islamic New Year's Day"
1989-10-12,"Birth of the Prophet"
1989-11-15,"Independence Day"
1990-02-22,"Muhammad's Ascension to Heaven"
1990-04-26,"Festival of Breaking the Fast"
1990-05-01,"Labor Day"
1990-07-03,"Feast of the Sacrifice"
1990-07-23,"Islamic New Year's Day"
1990-10-01,"Birth of the Prophet"
1990-11-15,"Independence Day"
1991-02-11,"Muhammad's Ascension to Heaven"
1991-04-15,"Festival of Breaking the Fast"
1991-05-01,"Labor Day"
1991-06-22,"Feast of the Sacrifice"
1991-07-12,"Islamic New Year's Day"
1991-09-20,"Birth of the Prophet"
1991-11-15,"Independence Day"
1992-01-31,"Muhammad's Ascension to Heaven"
1992-04-03,"Festival of Breaking the Fast"
1992-05-01,"Labor Day"
1992-06-10,"Feast of the Sacrifice"
1992-07-01,"Islamic New Year's Day"
1992-09-09,"Birth of the Prophet"
1992-11-15,"Independence Day"
1993-01-20,"Muhammad's Ascension to Heaven"
1993-03-24,"Festival of Breaking the Fast"
1993-05-01,"Labor Day"
1993-05-31,"Feast of the Sacrifice"
1993-06-20,"Islamic New Year's Day"
1993-08-29,"Birth of the Prophet"
1993-11-15,"Independence Day"
1994-01-09,"Muhammad's Ascension to Heaven"
1994-03-13,"Festival of Breaking the Fast"
1994-05-01,"Labor Day"
1994-05-20,"Feast of the Sacrifice"
1994-06-09,"Islamic New Year's Day"
1994-08-18,"Birth of the Prophet"
1994-11-15,"Independence Day"
1994-12-29,"Muhammad's Ascension to Heaven"
1995-03-02,"Festival of Breaking the Fast"
1995-05-01,"Labor Day"
1995-05-09,"Feast of the Sacrifice"
1995-05-30,"Islamic New Year's Day"
1995-08-08,"Birth of the Prophet"
1995-11-15,"Independence Day"
1995-12-19,"Muhammad's Ascension to Heaven"
1996-02-20,"Festival of Breaking the Fast"
1996-04-28,"Feast of the Sacrifice"
1996-05-01,"Labor Day"
1996-05-18,"Islamic New Year's Day"
1996-07-27,"Birth of the Prophet"
1996-11-15,"Independence Day"
1996-12-07,"Muhammad's Ascension to Heaven"
1997-02-08,"Festival of Breaking the Fast"
1997-04-17,"Feast of the Sacrifice"
1997-05-01,"Labor Day"
1997-05-08,"Islamic New Year's Day"
1997-07-17,"Birth of the Prophet"
1997-11-15,"Independence Day"
1997-11-27,"Muhammad's Ascension to Heaven"
1998-01-29,"Festival of Breaking the Fast"
1998-04-07,"Feast of the Sacrifice"
1998-04-27,"Islamic New Year's Day"
1998-05-01,"Labor Day"
1998-07-06,"Birth of the Prophet"
1998-11-15,"Independence Day"
1998-11-16,"Muhammad's Ascension to Heaven"
1999-01-18,"Festival of Breaking the Fast"
1999-03-27,"Feast of the Sacrifice"
1999-04-16,"Islamic New Year's Day"
1999-05-01,"Labor Day"
1999-06-25,"Birth of the Prophet"
1999-11-05,"Muhammad's Ascension to Heaven"
1999-11-15,"Independence Day"
2000-01-07,"Festival of Breaking the Fast"
2000-03-15,"Feast of the Sacrifice"
2000-04-05,"Islamic New Year's Day"
2000-05-01,"Labor Day"
2000-06-14,"Birth of the Prophet"
2000-10-25,"Muhammad's Ascension to Heaven"
2000-11-15,"Independence Day"
2000-12-27,"Festival of Breaking the Fast"
2001-03-05,"Feast of the Sacrifice"
2001-03-25,"Islamic New Year's Day"
2001-05-01,"Labor Day"
2001-06-03,"Birth of the Prophet"
2001-10-14,"Muhammad's Ascension to Heaven"
2001-11-15,"Independence Day"
2001-12-16,"Festival of Breaking the Fast"
2002-02-22,"Feast of the Sacrifice"
2002-03-14,"Islamic New Year's Day"
2002-05-01,"Labor Day"
2002-05-23,"Birth of the Prophet"
2002-10-03,"Muhammad's Ascension to Heaven"
2002-11-15,"Independence Day"
2002-12-05,"Festival of Breaking the Fast"
2003-02-11,"Feast of the Sacrifice"
2003-03-04,"Islamic New Year's Day"
2003-05-01,"Labor Day"
2003-05-13,"Birth of the Prophet"
2003-09-23,"Muhammad's Ascension to Heaven"
2003-11-15,"Independence Day"
2003-11-25,"Festival of Breaking the Fast"
2004-02-01,"Feast of the Sacrifice"
2004-02-21,"Islamic New Year's Day"
2004-05-01,"Labor Day"
2004-05-01,"Birth of the Prophet"
2004-09-11,"Muhammad's Ascension to Heaven"
2004-11-13,"Festival of Breaking the Fast"
2004-11-15,"Independence Day"
2005-01-20,"Feast of the Sacrifice"
2005-02-09,"Islamic New Year's Day"
2005-04-20,"Birth of the Prophet"
2005-05-01,"Labor Day"
2005-08-31,"Muhammad's Ascension to Heaven"
2005-11-02,"Festival of Breaking the Fast"
2005-11-15,"Independence Day"
2006-01-09,"Feast of the Sacrifice"
2006-01-30,"Islamic New Year's Day"
2006-04-10,"Birth of the Prophet"
2006-05-01,"Labor Day"
2006-08-21,"Muhammad's Ascension to Heaven"
2006-10-23,"Festival of Breaking the Fast"
2006-11-15,"Independence Day"
2006-12-30,"Feast of the Sacrifice"
2007-01-19,"Islamic New Year's Day"
2007-03-30,"Birth of the Prophet"
2007-05-01,"Labor Day"
2007-08-10,"Muhammad's Ascension to Heaven"
2007-10-12,"Festival of Breaking the Fast"
2007-11-15,"Independence Day"
2007-12-19,"Feast of the Sacrifice"
2008-01-09,"Islamic New Year's Day"
2008-03-19,"Birth of the Prophet"
2008-05-01,"Labor Day"
2008-07-30,"Muhammad's Ascension to Heaven"
2008-10-01,"Festival of Breaking the Fast"
2008-11-15,"Independence Day"
2008-12-08,"Feast of the Sacrifice"
2008-12-28,"Islamic New Year's Day"
2009-03-08,"Birth of the Prophet"
2009-05-01,"Labor Day"
2009-07-19,"Muhammad's Ascension to Heaven"
2009-09-20,"Festival of Breaking the Fast"
2009-11-15,"Independence Day"
2009-11-27,"Feast of the Sacrifice"
2009-12-17,"Islamic New Year's Day"
2010-02-25,"Birth of the Prophet"
2010-05-01,"Labor Day"
2010-07-08,"Muhammad's Ascension to Heaven"
2010-09-09,"Festival of Breaking the Fast"
2010-11-15,"Independence Day"
2010-11-16,"Feast of the Sacrifice"
2010-12-07,"Islamic New Year's Day"
2011-02-15,"Birth of the Prophet"
2011-05-01,"Labor Day"
2011-06-28,"Muhammad's Ascension to Heaven"
2011-08-30,"Festival of Breaking the Fast"
2011-11-06,"Feast of the Sacrifice"
2011-11-15,"Independence Day"
2011-11-26,"Islamic New Year's Day"
2012-02-04,"Birth of the Prophet"
2012-05-01,"Labor Day"
2012-06-16,"Muhammad's Ascension to Heaven"
2012-08-18,"Festival of Breaking the Fast"
2012-10-25,"Feast of the Sacrifice"
2012-11-14,"Islamic New Year's Day"
2012-11-15,"Independence Day"
2013-01-23,"Birth of the Prophet"
2013-05-01,"Labor Day"
2013-06-05,"Muhammad's Ascension to Heaven"
2013-08-07,"Festival of Breaking the Fast"
2013-10-14,"Feast of the Sacrifice"
2013-11-04,"Islamic New Year's Day"
2013-11-15,"Independence Day"
2014-01-13,"Birth of the Prophet"
2014-05-01,"Labor Day"
2014-05-26,"Muhammad's Ascension to Heaven"
2014-07-28,"Festival of Breaking the Fast"
2014-10-04,"Feast of the Sacrifice"
2014-10-24,"Islamic New Year's Day"
2014-11-15,"Independence Day"
2015-01-02,"Birth of the Prophet"
2015-05-01,"Labor Day"
2015-05-15,"Muhammad's Ascension to Heaven"
2015-07-17,"Festival of Breaking the Fast"
2015-09-23,"Feast of the Sacrifice"
2015-10-14,"Islamic New Year's Day"
2015-11-15,"Independence Day"
2015-12-23,"Birth of the Prophet"
2016-05-01,"Labor Day"
2016-05-04,"Muhammad's Ascension to Heaven"
2016-07-06,"Festival of Breaking the Fast"
2016-09-12,"Feast of the Sacrifice"
2016-10-02,"Islamic New Year's Day"
2016-11-15,"Independence Day"
2016-12-11,"Birth of the Prophet"
2017-04-23,"Muhammad's Ascension to Heaven"
2017-05-01,"Labor Day"
2017-06-25,"Festival of Breaking the Fast"
2017-09-01,"Feast of the Sacrifice"
2017-09-21,"Islamic New Year's Day"
2017-11-15,"Independence Day"
2017-11-30,"Birth of the Prophet"
2018-04-12,"Muhammad's Ascension to Heaven"
2018-05-01,"Labor Day"
2018-06-14,"Festival of Breaking the Fast"
2018-08-21,"Feast of the Sacrifice"
2018-09-11,"Islamic New Year's Day"
2018-11-15,"Independence Day"
2018-11-20,"Birth of the Prophet"
2019-04-02,"Muhammad's Ascension to Heaven"
2019-05-01,"Labor Day"
2019-06-04,"Festival of Breaking the Fast"
2019-08-11,"Feast of the Sacrifice"
2019-08-31,"Islamic New Year's Day"
2019-11-09,"Birth of the Prophet"
2019-11-15,"Independence Day"
2020-03-21,"Muhammad's Ascension to Heaven"
2020-05-01,"Labor Day"
2020-05-23,"Festival of Breaking the Fast"
2020-07-30,"Feast of the Sacrifice"
2020-08-19,"Islamic New Year's Day"
2020-10-28,"Birth of the Prophet"
2020-11-15,"Independence Day"
2021-03-10,"Muhammad's Ascension to Heaven"
2021-05-01,"Labor Day"
2021-05-12,"Festival of Breaking the Fast"
2021-07-19,"Feast of the Sacrifice"
2021-08-09,"Islamic New Year's Day"
2021-10-18,"Birth of the Prophet"
2021-11-15,"Independence Day"
2022-02-28,"Muhammad's Ascension to Heaven"
2022-05-01,"Labor Day"
2022-05-02,"Festival of Breaking the Fast"
2022-07-09,"Feast of the Sacrifice"
2022-07-29,"Islamic New Year's Day"
2022-10-07,"Birth of the Prophet"
2022-11-15,"Independence Day"
2023-02-17,"Muhammad's Ascension to Heaven"
2023-04-21,"Festival of Breaking the Fast"
2023-05-01,"Labor Day"
2023-06-28,"Feast of the Sacrifice"
2023-07-18,"Islamic New Year's Day"
2023-09-26,"Birth of the Prophet"
2023-11-15,"Independence Day"
